Name                                       Stmts   Miss  Cover
--------------------------------------------------------------
modules/google_dorker.py                     128    128     0%
modules/privesc_scanner.py                   169    169     0%
modules/proto_pollution.py                   118    118     0%
modules/proxy_interceptor.py                 106    106     0%
modules/race_condition.py                    181    181     0%
modules/spray.py                             106    106     0%
modules/template_engine.py                   231    231     0%
modules/urlscan_passive.py                   195    195     0%
modules/wayback_harvester.py                 110    110     0%
utils/async_request.py                        93     93     0%
utils/har_analyzer.py                        165    165     0%
utils/waf_exhaustion.py                       19     19     0%
modules/smart_payload/_xss_payloads.py       149    143     4%
modules/sqli.py                              274    256     7%
utils/shodan_lookup.py                       143    133     7%
modules/cookie_hsts_audit.py                 180    167     7%
modules/guaranteed_checks.py                 301    279     7%
modules/smart_payload/xss.py                  81     75     7%
modules/sqli_exploit/error_based.py          321    297     7%
modules/business_logic.py                    325    299     8%
modules/cmdi_shell.py                        222    204     8%
modules/dom_xss.py                            74     68     8%
modules/osint_breach.py                      108     99     8%
modules/cloud_enum.py                        201    184     8%
utils/agent_framework/dispatcher.py           89     81     9%
modules/sqli_exploit/blind.py                243    221     9%
modules/sqli_exploit/runner.py                54     49     9%
modules/xss.py                               187    169    10%
modules/osint_identity.py                    204    184    10%
modules/header_inject.py                      91     82    10%
modules/csp_bypass.py                        140    126    10%
modules/compare.py                            79     71    10%
modules/api_inject.py                        196    176    10%
modules/jwt_attack.py                        195    175    10%
modules/smart_payload/lfi.py                  67     60    10%
modules/email_harvest.py                     105     94    10%
modules/crawler.py                           124    111    10%
modules/smart_payload/_xss_detection.py      124    111    10%
modules/cors.py                               57     51    11%
utils/autopwn.py                              76     68    11%
modules/smart_payload/sqli.py                 65     58    11%
modules/xss_exploit.py                       260    232    11%
modules/poc_generator.py                      62     55    11%
modules/ssrf_exploit.py                      149    132    11%
modules/osint_sector.py                       70     62    11%
utils/wordlist_gen.py                        112     99    12%
modules/lfi_exploit.py                       151    133    12%
modules/rfi.py                               114    100    12%
modules/csrf.py                              128    112    12%
modules/smart_payload/cmdi.py                 47     41    13%
modules/subdomain_takeover.py                 93     81    13%
modules/tech_detect.py                        83     72    13%
utils/ai_exploit_agent/_validators.py         98     85    13%
modules/endpoint_fuzzer.py                   125    108    14%
modules/browser_exploit.py                    74     63    15%
modules/cmdi.py                              416    354    15%
modules/open_redirect.py                      72     61    15%
modules/dynamic_crawler.py                    95     79    17%
utils/reverse_listener.py                    112     92    18%
core/output.py                                50     41    18%
modules/recon.py                             313    251    20%
modules/lfi.py                               313    249    20%
utils/revshell.py                             63     50    21%
modules/secrets_scanner.py                    92     72    22%
utils/agent_framework/orchestrator.py        227    174    23%
modules/file_upload.py                       177    132    25%
utils/proxy_rotator.py                       133     98    26%
utils/vuln_chain.py                          191    133    30%
utils/loot_manager.py                         82     57    30%
utils/exploit_finder/nvd.py                   85     58    32%
utils/exploit_finder/backends.py             184    125    32%
utils/oob.py                                 132     89    33%
modules/account_takeover.py                  148     95    36%
utils/ai_exploit_agent/agent.py              218    139    36%
core/module_runners/postprocess.py           227    141    38%
utils/agent_framework/depth.py                76     47    38%
modules/auth_bypass.py                       162    100    38%
core/module_registry/async_modules.py         33     20    39%
utils/exploit_finder/orchestrator.py          87     52    40%
modules/ssti.py                              151     90    40%
core/module_runners/extras.py                102     59    42%
utils/waf_evasion.py                         146     82    44%
modules/ssrf.py                              243    135    44%
modules/xxe.py                               213    114    46%
utils/docker_executor.py                      87     46    47%
modules/forbidden_bypass.py                  151     74    51%
modules/deserialization.py                   195     95    51%
core/engine.py                                47     22    53%
modules/api_scanner.py                       312    138    56%
utils/ai.py                                  285    126    56%
core/module_runners/discovery.py             193     81    58%
scanner.py                                   372    156    58%
utils/asset_search.py                        233     97    58%
utils/ai_exploit_agent/chain_detector.py      53     20    62%
modules/brute_force.py                       114     43    62%
utils/validation_pipeline.py                 276     99    64%
